gutenberg_id,short_title,n_nodes,n_edges,density,avg_degree,diameter,transitivity,modularity,genre,year
1514,A Midsummer Night's Dream,31,342,0.735483870967742,22.06451612903226,2,0.8443554637044691,0.10541604389754511,Comedy,1595
1529,All's Well That Ends Well,22,190,0.8225108225108225,17.272727272727273,3,0.8798521256931608,0.04186380434526751,Comedy,1603
1534,Antony and Cleopatra,55,583,0.3925925925925926,21.200000000000003,3,0.6618237430701587,0.14816182090138877,Tragedy,1607
1523,As You Like It,27,256,0.7293447293447293,18.962962962962962,2,0.8202224469160768,0.05955681142177276,Comedy,1599
1504,Comedy of Errors,18,144,0.9411764705882353,16,2,0.9672131147540983,0.06080799666805495,Comedy,1594
1535,Coriolanus,60,703,0.39717514124293785,23.43333333333333,3,0.6843466380404021,0.2057394607791811,Tragedy,1608
1538,Cymbeline,41,404,0.4926829268292683,19.707317073170735,3,0.7392467365717954,0.13541250000000002,Tragedy,1610
1524,Hamlet,35,359,0.6033613445378152,20.514285714285712,4,0.8280689160086145,0.11781128338228265,Tragedy,1600
1516,"Henry IV, Part 1",34,365,0.6506238859180035,21.470588235294116,2,0.7769548324429335,0.10351974865003609,History,1597
1518,"Henry IV, Part 2",48,645,0.5718085106382979,26.875,3,0.7479947575360419,0.15174539912302146,History,1598
1521,Henry V,46,649,0.6270531400966183,28.217391304347824,3,0.8357914467518375,0.14731823932504,History,1599
1500,"Henry VI, Part 1",54,794,0.5548567435359888,29.407407407407405,3,0.7549421997966638,0.13516260897222745,History,1592
1501,"Henry VI, Part 2",42,477,0.554006968641115,22.71428571428571,3,0.7827177001504262,0.19160970052083331,History,1591
1502,"Henry VI, Part 3",37,400,0.6006006006006006,21.621621621621625,3,0.7733333333333333,0.06800388301940025,History,1595
1541,Henry VIII,46,517,0.4995169082125604,22.47826086956522,2,0.7567339421379786,0.23746118392097412,History,1613
1522,Julius Caesar,47,647,0.5985198889916744,27.531914893617017,3,0.7906964737467087,0.14987350620032147,Tragedy,1599
1511,King John,28,276,0.7301587301587302,19.714285714285715,3,0.8911826452064381,0.13938492063492067,History,1597
1532,King Lear,26,237,0.7292307692307692,18.230769230769234,3,0.8052417532760958,0.0316449212411284,Tragedy,1606
1510,Love's Labour's Lost,18,120,0.7843137254901961,13.333333333333332,2,0.9169811320754717,0.1274722549445099,Comedy,1595
1533,Macbeth,37,373,0.56006006006006,20.16216216216216,3,0.741189293932421,0.1662911522633745,Tragedy,1606
1530,Measure for Measure,24,186,0.6739130434782609,15.5,2,0.806312292358804,0.08961762511706164,Comedy,1604
1515,Merchant of Venice,24,183,0.6630434782608695,15.25,3,0.8470824949698189,0.08334982192322912,Comedy,1597
1517,Merry Wives of Windsor,23,234,0.9249011857707511,20.347826086956523,2,0.9384816753926701,0.016760800002171304,Comedy,1601
1519,Much Ado about Nothing,23,170,0.6719367588932806,14.782608695652176,3,0.8465690053970701,0.1632882414151925,Comedy,1598
1531,Othello,25,235,0.7833333333333333,18.8,2,0.8498641304347826,0.05342987502479667,Tragedy,1604
1537,Pericles,45,384,0.3878787878787879,17.06666666666667,3,0.707931124445604,0.2864992734721031,History,1608
1512,Richard II,37,345,0.5180180180180181,18.648648648648653,3,0.7712146422628952,0.15546229338842976,History,1595
1503,Richard III,62,1065,0.5631940772078265,34.35483870967742,3,0.7696844157426587,0.19300806390906694,History,1592
1513,Romeo and Juliet,32,334,0.6733870967741935,20.875,3,0.7936551724137931,0.11229400000000002,Tragedy,1595
1508,Taming of the Shrew,25,252,0.84,20.16,3,0.9470611132736473,0.08884515570934255,Comedy,1592
1540,Tempest,20,178,0.9368421052631579,17.8,2,0.9724950884086444,0.06400279454287877,Comedy,1611
1536,Timon of Athens,59,666,0.3892460549386324,22.57627118644067,3,0.7607802874743327,0.25796751353602665,Tragedy,1604
1507,Titus Andronicus,26,290,0.8923076923076922,22.307692307692307,2,0.9270142180094787,0.050946398546706885,Tragedy,1591
1528,Troilus and Cressida,29,277,0.6822660098522167,19.10344827586207,4,0.8543466760712396,0.07262022443751395,Tragedy,1602
1526,Twelfth Night,19,146,0.8538011695906432,15.368421052631579,3,0.9057639524245197,0.0459104938271605,Comedy,1601
1509,Two Gentlemen of Verona,18,104,0.6797385620915033,11.555555555555555,2,0.7759056444818871,0.09897735573411247,Comedy,1598
1539,Winter's Tale,33,358,0.678030303030303,21.696969696969695,2,0.807037037037037,0.11486434994665445,Comedy,1611
