short_title,word,n,tf,idf,tf_idf
A Midsummer Night's Dream,lysander,49,0.007989564650252731,3.6109179126442243,0.028849662109826674
A Midsummer Night's Dream,hermia,46,0.007500407630849503,3.6109179126442243,0.0270833562663679
A Midsummer Night's Dream,pyramus,49,0.007989564650252731,2.917770732084279,0.023311717898602587
A Midsummer Night's Dream,demetrius,52,0.008478721669655959,2.512305623976115,0.02130114013480482
A Midsummer Night's Dream,thisbe,36,0.005869884232838741,2.512305623976115,0.014746943170249492
A Midsummer Night's Dream,helena,34,0.005543779553236589,2.512305623976115,0.013927668549680075
A Midsummer Night's Dream,puck,17,0.0027718897766182945,3.6109179126442243,0.010009066446266398
A Midsummer Night's Dream,oberon,16,0.0026088374368172184,3.6109179126442243,0.009420297831780139
A Midsummer Night's Dream,titania,16,0.0026088374368172184,3.6109179126442243,0.009420297831780139
A Midsummer Night's Dream,athens,20,0.003261046796021523,2.512305623976115,0.008192746205694162
A Midsummer Night's Dream,quince,12,0.0019566280776129137,3.6109179126442243,0.007065223373835103
A Midsummer Night's Dream,theseus,14,0.0022827327572150662,2.917770732084279,0.006660490828172169
A Midsummer Night's Dream,hippolyta,10,0.0016305233980107615,3.6109179126442243,0.005887686144862587
A Midsummer Night's Dream,athenian,14,0.0022827327572150662,2.512305623976115,0.005734922343985914
A Midsummer Night's Dream,egeus,8,0.0013044187184086092,3.6109179126442243,0.0047101489158900695
A Midsummer Night's Dream,snout,8,0.0013044187184086092,3.6109179126442243,0.0047101489158900695
A Midsummer Night's Dream,thisbe's,8,0.0013044187184086092,3.6109179126442243,0.0047101489158900695
A Midsummer Night's Dream,fairy,21,0.003424099135822599,1.308332819650179,0.004479861277132522
A Midsummer Night's Dream,cobweb,7,0.0011413663786075331,3.6109179126442243,0.004121380301403811
A Midsummer Night's Dream,flute,7,0.0011413663786075331,3.6109179126442243,0.004121380301403811
A Midsummer Night's Dream,hermia's,7,0.0011413663786075331,3.6109179126442243,0.004121380301403811
A Midsummer Night's Dream,mustardseed,7,0.0011413663786075331,3.6109179126442243,0.004121380301403811
A Midsummer Night's Dream,philostrate,7,0.0011413663786075331,3.6109179126442243,0.004121380301403811
A Midsummer Night's Dream,moonshine,12,0.0019566280776129137,2.0014800002101243,0.00391615196519183
A Midsummer Night's Dream,peaseblossom,6,9.783140388064568e-4,3.6109179126442243,0.0035326116869175517
