short_title,bigram,n,tf,idf,tf_idf
A Midsummer Night's Dream,peter quince,7,0.0048712595685455815,3.6109179126442243,0.017589718433200816
A Midsummer Night's Dream,fair helena,4,0.0027835768963117608,3.6109179126442243,0.010051267676114752
A Midsummer Night's Dream,fair hermia,4,0.0027835768963117608,3.6109179126442243,0.010051267676114752
A Midsummer Night's Dream,fairy queen,4,0.0027835768963117608,2.917770732084279,0.008121839198564452
A Midsummer Night's Dream,honey bag,3,0.0020876826722338203,3.6109179126442243,0.007538450757086063
A Midsummer Night's Dream,ninny's tomb,3,0.0020876826722338203,3.6109179126442243,0.007538450757086063
A Midsummer Night's Dream,rough cast,3,0.0020876826722338203,3.6109179126442243,0.007538450757086063
A Midsummer Night's Dream,die die,4,0.0027835768963117608,2.512305623976115,0.006993195891374015
A Midsummer Night's Dream,athenian garments,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,athenian law,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,athenian's eyes,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,bellows mender,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,bully bottom,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,colour beard,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,demetrius loves,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,eyes water,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,fair pyramus,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,flowery bed,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,gentle puck,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,goddess nymph,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,hornèd moon,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,jealous oberon,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,lion vile,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,love demetrius,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,love hermia,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,love juice,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,lovely wall,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,lulla lulla,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,lulla lullaby,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,master mustardseed,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,monsieur cobweb,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,monsieur mustardseed,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,musk roses,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,nick bottom,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,ninus tomb,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,orange tawny,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,play pyramus,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,robin starveling,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,savours sweet,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,ten words,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,thisbe dear,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,thorn bush,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,tongue's sweet,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,truest horse,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,vile wall,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,wed demetrius,2,0.0013917884481558804,3.6109179126442243,0.005025633838057376
A Midsummer Night's Dream,tomorrow night,4,0.0027835768963117608,1.5314763709643886,0.004262982243463852
A Midsummer Night's Dream,single life,2,0.0013917884481558804,2.917770732084279,0.004060919599282226
A Midsummer Night's Dream,sweet eyes,2,0.0013917884481558804,2.917770732084279,0.004060919599282226
A Midsummer Night's Dream,adieu adieu,2,0.0013917884481558804,2.512305623976115,0.0034965979456870076
A Midsummer Night's Dream,night sweet,2,0.0013917884481558804,2.512305623976115,0.0034965979456870076
A Midsummer Night's Dream,sweet love,3,0.0020876826722338203,1.6650077635889111,0.003476007857179355
A Midsummer Night's Dream,mother's son,2,0.0013917884481558804,2.224623551524334,0.003096205360507076
A Midsummer Night's Dream,alack alack,2,0.0013917884481558804,2.0014800002101243,0.00278563674350748
A Midsummer Night's Dream,true love,3,0.0020876826722338203,1.308332819650179,0.002731383757098494
A Midsummer Night's Dream,gracious duke,2,0.0013917884481558804,1.8191584434161694,0.002531883706911857
A Midsummer Night's Dream,ho ho,2,0.0013917884481558804,1.8191584434161694,0.002531883706911857
A Midsummer Night's Dream,wedding day,2,0.0013917884481558804,1.8191584434161694,0.002531883706911857
A Midsummer Night's Dream,acorn cups,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,action monsieur,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,actors eat,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,adder stung,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,advis'd fair,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,aegles break,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,affection move,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,ah pyramus,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,airy spirit,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,aloof stand,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,alter hoary,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,amiable cheeks,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,amorous phillida,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,ancient privilege,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,angel wakes,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,anger washes,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,angry winter,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,another's eyes,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,antique fables,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,apollo flies,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
A Midsummer Night's Dream,apparel snatch,1,6.958942240779402e-4,3.6109179126442243,0.002512816919028688
