act_scene,sentiment_score,lexicon
I.I,-27,Bing
I.II,10,Bing
I.III,-22,Bing
I.IV,-16,Bing
I.V,-17,Bing
I.VI,15,Bing
II.I,-5,Bing
II.II,-1,Bing
II.III,-12,Bing
II.IV,-11,Bing
II.V,-8,Bing
III.I,-13,Bing
III.II,-18,Bing
III.III,1,Bing
III.IV,11,Bing
IV.I,-38,Bing
IV.II,-18,Bing
IV.III,-13,Bing
IV.IV,-8,Bing
IV.V,-23,Bing
IV.VI,-15,Bing
IV.VII,-25,Bing
V.I,18,Bing
V.II,-1,Bing
V.III,36,Bing
V.IV,-34,Bing
V.V,23,Bing
I.I,-61,AFINN
I.II,51,AFINN
I.III,0,AFINN
I.IV,10,AFINN
I.V,-15,AFINN
I.VI,31,AFINN
II.I,-8,AFINN
II.II,1,AFINN
II.III,-4,AFINN
II.IV,-18,AFINN
II.V,19,AFINN
III.I,30,AFINN
III.II,0,AFINN
III.III,8,AFINN
III.IV,28,AFINN
IV.I,-5,AFINN
IV.II,-35,AFINN
IV.III,-3,AFINN
IV.IV,-9,AFINN
IV.V,-41,AFINN
IV.VI,-37,AFINN
IV.VII,-43,AFINN
V.I,28,AFINN
V.II,2,AFINN
V.III,88,AFINN
V.IV,-17,AFINN
V.V,84,AFINN
I.I,9,NRC
I.II,29,NRC
I.III,9,NRC
I.IV,-4,NRC
I.V,-19,NRC
I.VI,16,NRC
II.I,7,NRC
II.II,9,NRC
II.III,9,NRC
II.IV,-5,NRC
II.V,3,NRC
III.I,59,NRC
III.II,-4,NRC
III.III,0,NRC
III.IV,20,NRC
IV.I,13,NRC
IV.II,-22,NRC
IV.III,-8,NRC
IV.IV,2,NRC
IV.V,-28,NRC
IV.VI,-21,NRC
IV.VII,-10,NRC
V.I,34,NRC
V.II,-1,NRC
V.III,84,NRC
V.IV,23,NRC
V.V,47,NRC
