act_scene,sentiment_score,lexicon
I.I,-22,Bing
I.II,-17,Bing
II.I,-17,Bing
II.II,-13,Bing
III.I,-5,Bing
III.II,29,Bing
IV.I,2,Bing
IV.II,-15,Bing
IV.III,-12,Bing
IV.IV,-30,Bing
V.I,-65,Bing
I.I,-12,AFINN
I.II,13,AFINN
II.I,-27,AFINN
II.II,-4,AFINN
III.I,20,AFINN
III.II,33,AFINN
IV.I,9,AFINN
IV.II,-47,AFINN
IV.III,-28,AFINN
IV.IV,-49,AFINN
V.I,-78,AFINN
I.I,-10,NRC
I.II,22,NRC
II.I,-5,NRC
II.II,54,NRC
III.I,21,NRC
III.II,46,NRC
IV.I,26,NRC
IV.II,-15,NRC
IV.III,19,NRC
IV.IV,-5,NRC
V.I,47,NRC
