act_scene,sentiment_score,lexicon
I.I,-51,Bing
I.II,17,Bing
I.III,0,Bing
II.I,1,Bing
II.II,4,Bing
II.III,15,Bing
II.IV,-9,Bing
III.I,-8,Bing
III.II,75,Bing
IV.I,-1,Bing
IV.II,30,Bing
IV.III,20,Bing
IV.IV,9,Bing
IV.V,-24,Bing
V.I,-1,Bing
V.II,23,Bing
V.III,53,Bing
V.IV,-9,Bing
V.V,-6,Bing
I.I,-45,AFINN
I.II,56,AFINN
I.III,21,AFINN
II.I,25,AFINN
II.II,-3,AFINN
II.III,24,AFINN
II.IV,44,AFINN
III.I,26,AFINN
III.II,165,AFINN
IV.I,29,AFINN
IV.II,68,AFINN
IV.III,57,AFINN
IV.IV,47,AFINN
IV.V,20,AFINN
V.I,15,AFINN
V.II,41,AFINN
V.III,138,AFINN
V.IV,-10,AFINN
V.V,19,AFINN
I.I,1,NRC
I.II,89,NRC
I.III,35,NRC
II.I,36,NRC
II.II,41,NRC
II.III,16,NRC
II.IV,42,NRC
III.I,25,NRC
III.II,136,NRC
IV.I,75,NRC
IV.II,39,NRC
IV.III,60,NRC
IV.IV,38,NRC
IV.V,29,NRC
V.I,43,NRC
V.II,56,NRC
V.III,69,NRC
V.IV,-2,NRC
V.V,38,NRC
