act_scene,sentiment_score,lexicon
I.I,29,Bing
I.II,16,Bing
I.III,15,Bing
I.IV,4,Bing
II.I,48,Bing
II.II,0,Bing
II.III,1,Bing
II.IV,-4,Bing
III.I,-87,Bing
III.II,-145,Bing
III.III,-10,Bing
IV.I,-63,Bing
IV.II,-14,Bing
I.I,101,AFINN
I.II,48,AFINN
I.III,28,AFINN
I.IV,-1,AFINN
II.I,108,AFINN
II.II,1,AFINN
II.III,2,AFINN
II.IV,-15,AFINN
III.I,-102,AFINN
III.II,-123,AFINN
III.III,-15,AFINN
IV.I,-75,AFINN
IV.II,-10,AFINN
I.I,107,NRC
I.II,27,NRC
I.III,61,NRC
I.IV,13,NRC
II.I,91,NRC
II.II,43,NRC
II.III,22,NRC
II.IV,8,NRC
III.I,-23,NRC
III.II,-33,NRC
III.III,-5,NRC
IV.I,-30,NRC
IV.II,42,NRC
