character,n_plays,plays
RICHARD,3,"Henry VI, Part 3; Richard III; Richard II"
SECOND CITIZEN,3,Richard III; Julius Caesar; Coriolanus
SECOND MESSENGER,3,Richard III; Antony and Cleopatra; Coriolanus
SHERIFF,3,"Henry VI, Part 2; Richard III; Henry IV, Part 1"
SOMERSET,3,"Henry VI, Part 1; Henry VI, Part 2; Henry VI, Part 3"
SOOTHSAYER,3,Julius Caesar; Antony and Cleopatra; Cymbeline
SUFFOLK,3,"Henry VI, Part 1; Henry VI, Part 2; Henry VIII"
SURREY,3,Richard III; Richard II; Henry VIII
THIRD CITIZEN,3,Richard III; Julius Caesar; Coriolanus
THIRD GENTLEMAN,3,Othello; Winter's Tale; Henry VIII
THIRD LORD,3,Coriolanus; Timon of Athens; Pericles
WESTMORELAND,3,"Henry VI, Part 3; Henry IV, Part 1; Henry IV, Part 2"
AMBASSADOR,2,Henry V; Antony and Cleopatra
ANGELO,2,Comedy of Errors; Measure for Measure
ANTONY,2,Julius Caesar; Antony and Cleopatra
BASTARD,2,"Henry VI, Part 1; King John"
BAWD,2,Measure for Measure; Pericles
BEDFORD,2,"Henry VI, Part 1; Henry V"
BIANCA,2,Taming of the Shrew; Othello
BLUNT,2,"Richard III; Henry IV, Part 1"
BOLINGBROKE,2,"Henry VI, Part 2; Richard II"
BRUTUS,2,Julius Caesar; Coriolanus
CAESAR,2,Julius Caesar; Antony and Cleopatra
CARDINAL,2,"Henry VI, Part 2; Richard III"
CHAMBERLAIN,2,"Henry IV, Part 1; Henry VIII"
CHARLES,2,"Henry VI, Part 1; As You Like It"
CITIZEN,2,King John; Coriolanus
CITIZENS,2,Julius Caesar; Coriolanus
CLARENCE,2,"Richard III; Henry IV, Part 2"
CLAUDIO,2,Much Ado about Nothing; Measure for Measure
CORNELIUS,2,Hamlet; Cymbeline
COUNTESS,2,"Henry VI, Part 1; All's Well That Ends Well"
DIANA,2,All's Well That Ends Well; Pericles
DIOMEDES,2,Troilus and Cressida; Antony and Cleopatra
DUCHESS,2,Richard III; Richard II
ELY,2,Richard III; Henry V
EMILIA,2,Othello; Winter's Tale
EPILOGUE,2,"Henry IV, Part 2; Henry VIII"
FIRST,2,Coriolanus; Timon of Athens
FIRST AMBASSADOR,2,Henry V; Hamlet
FIRST LADY,2,Timon of Athens; Winter's Tale
FIRST MURDERER,2,Richard III; Macbeth
FIRST MUSICIAN,2,Romeo and Juliet; Othello
FIRST OFFICER,2,Twelfth Night; Coriolanus
FIRST SAILOR,2,Hamlet; Pericles
FIRST SERVINGMAN,2,"Henry VI, Part 1; Coriolanus"
FLAVIUS,2,Julius Caesar; Timon of Athens
FOOL,2,King Lear; Timon of Athens
FOURTH CITIZEN,2,Julius Caesar; Coriolanus
FRANCISCO,2,Hamlet; Tempest
GAOLER,2,Cymbeline; Winter's Tale
GENTLEWOMAN,2,Macbeth; Coriolanus
GHOST,2,Julius Caesar; Hamlet
GRATIANO,2,Merchant of Venice; Othello
GREY,2,Richard III; Henry V
HELENA,2,A Midsummer Night's Dream; All's Well That Ends Well
HOST,2,Two Gentlemen of Verona; Merry Wives of Windsor
JULIET,2,Romeo and Juliet; Measure for Measure
KATHARINE,2,Love's Labour's Lost; Henry V
KING EDWARD,2,"Henry VI, Part 3; Richard III"
KING RICHARD,2,Richard III; Richard II
LADY,2,Richard II; Cymbeline
LADY PERCY,2,"Henry IV, Part 1; Henry IV, Part 2"
LANCASTER,2,"Henry IV, Part 1; Henry IV, Part 2"
LEPIDUS,2,Julius Caesar; Antony and Cleopatra
LOVELL,2,Richard III; Henry VIII
LUCILIUS,2,Julius Caesar; Timon of Athens
MARGARET,2,"Henry VI, Part 1; Much Ado about Nothing"
MARIA,2,Love's Labour's Lost; Twelfth Night
MARIANA,2,All's Well That Ends Well; Measure for Measure
MARTIUS,2,Titus Andronicus; Coriolanus
MASTER,2,"Henry VI, Part 2; Tempest"
MERCHANT,2,Comedy of Errors; Timon of Athens
MONTAGUE,2,"Henry VI, Part 3; Romeo and Juliet"
MORTIMER,2,"Henry VI, Part 1; Henry IV, Part 1"
MOTH,2,Love's Labour's Lost; A Midsummer Night's Dream
MOWBRAY,2,"Richard II; Henry IV, Part 2"
NATHANIEL,2,Taming of the Shrew; Love's Labour's Lost
NURSE,2,Titus Andronicus; Romeo and Juliet
NYM,2,Merry Wives of Windsor; Henry V
OLD MAN,2,King Lear; Macbeth
OXFORD,2,"Henry VI, Part 3; Richard III"
PARIS,2,Romeo and Juliet; Troilus and Cressida
PETO,2,"Henry IV, Part 1; Henry IV, Part 2"
POET,2,Julius Caesar; Timon of Athens
POINS,2,"Henry IV, Part 1; Henry IV, Part 2"
POMPEY,2,Measure for Measure; Antony and Cleopatra
PORTIA,2,Merchant of Venice; Julius Caesar
POST,2,"Henry VI, Part 2; Henry VI, Part 3"
