gutenberg_id,short_title,character,genre,year
1502,"Henry VI, Part 3",POST,History,1595
1502,"Henry VI, Part 3",PRINCE EDWARD,History,1595
1502,"Henry VI, Part 3",QUEEN ELIZABETH,History,1595
1502,"Henry VI, Part 3",QUEEN MARGARET,History,1595
1502,"Henry VI, Part 3",RICHARD,History,1595
1502,"Henry VI, Part 3",RIVERS,History,1595
1502,"Henry VI, Part 3",RUTLAND,History,1595
1502,"Henry VI, Part 3",SIR JOHN,History,1595
1502,"Henry VI, Part 3",SOLDIER,History,1595
1502,"Henry VI, Part 3",SOMERSET,History,1595
1502,"Henry VI, Part 3",SOMERVILLE,History,1595
1502,"Henry VI, Part 3",SON,History,1595
1502,"Henry VI, Part 3",TUTOR,History,1595
1502,"Henry VI, Part 3",WARWICK,History,1595
1502,"Henry VI, Part 3",WESTMORELAND,History,1595
1502,"Henry VI, Part 3",YORK,History,1595
1503,Richard III,ANNE,History,1592
1503,Richard III,ARCHBISHOP,History,1592
1503,Richard III,BLUNT,History,1592
1503,Richard III,BOY,History,1592
1503,Richard III,BRAKENBURY,History,1592
1503,Richard III,BUCKINGHAM,History,1592
1503,Richard III,CARDINAL,History,1592
1503,Richard III,CATESBY,History,1592
1503,Richard III,CHILDREN,History,1592
1503,Richard III,CHRISTOPHER,History,1592
1503,Richard III,CLARENCE,History,1592
1503,Richard III,DORSET,History,1592
1503,Richard III,DUCHESS,History,1592
1503,Richard III,ELY,History,1592
1503,Richard III,FIRST CITIZEN,History,1592
1503,Richard III,FIRST MURDERER,History,1592
1503,Richard III,FOURTH MESSENGER,History,1592
1503,Richard III,GENTLEMAN,History,1592
1503,Richard III,GHOST OF ANNE,History,1592
1503,Richard III,GHOST OF BUCKINGHAM,History,1592
1503,Richard III,GHOST OF CLARENCE,History,1592
1503,Richard III,GHOST OF EDWARD,History,1592
1503,Richard III,GHOST OF GREY,History,1592
1503,Richard III,GHOST OF HASTINGS,History,1592
1503,Richard III,GHOST OF HENRY,History,1592
1503,Richard III,GHOST OF RIVERS,History,1592
1503,Richard III,GHOST OF VAUGHAN,History,1592
1503,Richard III,GHOSTS OF PRINCES,History,1592
1503,Richard III,GIRL,History,1592
1503,Richard III,GREY,History,1592
1503,Richard III,HASTINGS,History,1592
1503,Richard III,HERBERT,History,1592
1503,Richard III,KEEPER,History,1592
1503,Richard III,KING EDWARD,History,1592
1503,Richard III,KING RICHARD,History,1592
1503,Richard III,LORDS,History,1592
1503,Richard III,LOVELL,History,1592
1503,Richard III,MAYOR,History,1592
1503,Richard III,MESSENGER,History,1592
1503,Richard III,NORFOLK,History,1592
1503,Richard III,OXFORD,History,1592
1503,Richard III,PAGE,History,1592
1503,Richard III,PRIEST,History,1592
1503,Richard III,PRINCE,History,1592
1503,Richard III,PURSUIVANT,History,1592
1503,Richard III,QUEEN ELIZABETH,History,1592
1503,Richard III,QUEEN MARGARET,History,1592
1503,Richard III,RATCLIFFE,History,1592
1503,Richard III,RICHARD,History,1592
1503,Richard III,RICHMOND,History,1592
1503,Richard III,RIVERS,History,1592
1503,Richard III,SCRIVENER,History,1592
1503,Richard III,SECOND CITIZEN,History,1592
1503,Richard III,SECOND MESSENGER,History,1592
1503,Richard III,SECOND MURDERER,History,1592
1503,Richard III,SHERIFF,History,1592
1503,Richard III,STANLEY,History,1592
1503,Richard III,SURREY,History,1592
1503,Richard III,THIRD CITIZEN,History,1592
1503,Richard III,THIRD MESSENGER,History,1592
1503,Richard III,TYRREL,History,1592
1503,Richard III,VAUGHAN,History,1592
1503,Richard III,YORK,History,1592
1504,Comedy of Errors,ABBESS,Comedy,1594
1504,Comedy of Errors,ADRIANA,Comedy,1594
1504,Comedy of Errors,ANGELO,Comedy,1594
1504,Comedy of Errors,ANTIPHOLUS OF EPHESUS,Comedy,1594
1504,Comedy of Errors,ANTIPHOLUS OF SYRACUSE,Comedy,1594
1504,Comedy of Errors,BALTHASAR,Comedy,1594
1504,Comedy of Errors,COURTESAN,Comedy,1594
1504,Comedy of Errors,DROMIO OF EPHESUS,Comedy,1594
1504,Comedy of Errors,DROMIO OF SYRACUSE,Comedy,1594
1504,Comedy of Errors,DUKE,Comedy,1594
1504,Comedy of Errors,EGEON,Comedy,1594
1504,Comedy of Errors,JAILER,Comedy,1594
1504,Comedy of Errors,LUCE,Comedy,1594
1504,Comedy of Errors,LUCIANA,Comedy,1594
1504,Comedy of Errors,MERCHANT,Comedy,1594
1504,Comedy of Errors,MESSENGER,Comedy,1594
1504,Comedy of Errors,OFFICER,Comedy,1594
1504,Comedy of Errors,PINCH,Comedy,1594
1507,Titus Andronicus,AARON,Tragedy,1591
1507,Titus Andronicus,AEMILIUS,Tragedy,1591
1507,Titus Andronicus,BASSIANUS,Tragedy,1591
1507,Titus Andronicus,CAPTAIN,Tragedy,1591
1507,Titus Andronicus,CHIRON,Tragedy,1591
1507,Titus Andronicus,CLOWN,Tragedy,1591
1507,Titus Andronicus,DEMETRIUS,Tragedy,1591
1507,Titus Andronicus,FIRST GOTH,Tragedy,1591
1507,Titus Andronicus,GOTH,Tragedy,1591
1507,Titus Andronicus,GOTHS,Tragedy,1591
1507,Titus Andronicus,LAVINIA,Tragedy,1591
1507,Titus Andronicus,LUCIUS,Tragedy,1591
1507,Titus Andronicus,MARCUS,Tragedy,1591
1507,Titus Andronicus,MARTIUS,Tragedy,1591
1507,Titus Andronicus,MESSENGER,Tragedy,1591
1507,Titus Andronicus,MUTIUS,Tragedy,1591
1507,Titus Andronicus,NURSE,Tragedy,1591
1507,Titus Andronicus,PUBLIUS,Tragedy,1591
1507,Titus Andronicus,QUINTUS,Tragedy,1591
1507,Titus Andronicus,ROMANS,Tragedy,1591
1507,Titus Andronicus,SATURNINUS,Tragedy,1591
1507,Titus Andronicus,SECOND GOTH,Tragedy,1591
1507,Titus Andronicus,TAMORA,Tragedy,1591
1507,Titus Andronicus,TITUS,Tragedy,1591
1507,Titus Andronicus,TRIBUNES,Tragedy,1591
1507,Titus Andronicus,YOUNG LUCIUS,Tragedy,1591
1508,Taming of the Shrew,BAPTISTA,Comedy,1592
1508,Taming of the Shrew,BIANCA,Comedy,1592
1508,Taming of the Shrew,BIONDELLO,Comedy,1592
1508,Taming of the Shrew,CURTIS,Comedy,1592
1508,Taming of the Shrew,FIRST SERVANT,Comedy,1592
1508,Taming of the Shrew,GREMIO,Comedy,1592
1508,Taming of the Shrew,GRUMIO,Comedy,1592
1508,Taming of the Shrew,HABERDASHER,Comedy,1592
1508,Taming of the Shrew,HORTENSIO,Comedy,1592
1508,Taming of the Shrew,JOSEPH,Comedy,1592
1508,Taming of the Shrew,KATHERINA,Comedy,1592
1508,Taming of the Shrew,LUCENTIO,Comedy,1592
1508,Taming of the Shrew,NATHANIEL,Comedy,1592
1508,Taming of the Shrew,NICHOLAS,Comedy,1592
1508,Taming of the Shrew,PAGE,Comedy,1592
1508,Taming of the Shrew,PEDANT,Comedy,1592
1508,Taming of the Shrew,PETER,Comedy,1592
1508,Taming of the Shrew,PETRUCHIO,Comedy,1592
1508,Taming of the Shrew,PHILIP,Comedy,1592
1508,Taming of the Shrew,SERVANT,Comedy,1592
1508,Taming of the Shrew,SLY,Comedy,1592
1508,Taming of the Shrew,TAILOR,Comedy,1592
1508,Taming of the Shrew,TRANIO,Comedy,1592
1508,Taming of the Shrew,VINCENTIO,Comedy,1592
1508,Taming of the Shrew,WIDOW,Comedy,1592
1509,Two Gentlemen of Verona,ANTONIO,Comedy,1598
1509,Two Gentlemen of Verona,DUKE,Comedy,1598
1509,Two Gentlemen of Verona,EGLAMOUR,Comedy,1598
1509,Two Gentlemen of Verona,FIRST OUTLAW,Comedy,1598
1509,Two Gentlemen of Verona,HOST,Comedy,1598
1509,Two Gentlemen of Verona,JULIA,Comedy,1598
1509,Two Gentlemen of Verona,LANCE,Comedy,1598
1509,Two Gentlemen of Verona,LUCETTA,Comedy,1598
1509,Two Gentlemen of Verona,OUTLAWS,Comedy,1598
1509,Two Gentlemen of Verona,PANTINO,Comedy,1598
1509,Two Gentlemen of Verona,PROTEUS,Comedy,1598
1509,Two Gentlemen of Verona,SECOND OUTLAW,Comedy,1598
1509,Two Gentlemen of Verona,SERVANT,Comedy,1598
1509,Two Gentlemen of Verona,SILVIA,Comedy,1598
1509,Two Gentlemen of Verona,SPEED,Comedy,1598
1509,Two Gentlemen of Verona,THIRD OUTLAW,Comedy,1598
1509,Two Gentlemen of Verona,THURIO,Comedy,1598
1509,Two Gentlemen of Verona,VALENTINE,Comedy,1598
1510,Love's Labour's Lost,ARMADO,Comedy,1595
1510,Love's Labour's Lost,BEROWNE,Comedy,1595
1510,Love's Labour's Lost,BOYET,Comedy,1595
1510,Love's Labour's Lost,COSTARD,Comedy,1595
1510,Love's Labour's Lost,DULL,Comedy,1595
1510,Love's Labour's Lost,DUMAINE,Comedy,1595
1510,Love's Labour's Lost,FORESTER,Comedy,1595
1510,Love's Labour's Lost,HOLOFERNES,Comedy,1595
1510,Love's Labour's Lost,JAQUENETTA,Comedy,1595
1510,Love's Labour's Lost,KATHARINE,Comedy,1595
1510,Love's Labour's Lost,KING,Comedy,1595
1510,Love's Labour's Lost,LONGAVILLE,Comedy,1595
1510,Love's Labour's Lost,LORD,Comedy,1595
1510,Love's Labour's Lost,MARIA,Comedy,1595
1510,Love's Labour's Lost,MOTH,Comedy,1595
1510,Love's Labour's Lost,NATHANIEL,Comedy,1595
1510,Love's Labour's Lost,PRINCESS,Comedy,1595
1510,Love's Labour's Lost,ROSALINE,Comedy,1595
1511,King John,ARTHUR,History,1597
1511,King John,AUSTRIA,History,1597
1511,King John,BASTARD,History,1597
1511,King John,BIGOT,History,1597
1511,King John,BLANCHE,History,1597
1511,King John,CHATILLION,History,1597
1511,King John,CITIZEN,History,1597
1511,King John,CONSTANCE,History,1597
1511,King John,ENGLISH HERALD,History,1597
1511,King John,ESSEX,History,1597
1511,King John,FIRST CITIZEN,History,1597
1511,King John,FIRST EXECUTIONER,History,1597
1511,King John,FRENCH HERALD,History,1597
1511,King John,GURNEY,History,1597
1511,King John,HUBERT,History,1597
1511,King John,KING JOHN,History,1597
1511,King John,KING PHILIP,History,1597
1511,King John,LADY FAULCONBRIDGE,History,1597
1511,King John,LOUIS,History,1597
1511,King John,MELUN,History,1597
1511,King John,MESSENGER,History,1597
1511,King John,PANDULPH,History,1597
1511,King John,PEMBROKE,History,1597
1511,King John,PETER OF POMFRET,History,1597
1511,King John,PRINCE HENRY,History,1597
1511,King John,QUEEN ELEANOR,History,1597
1511,King John,ROBERT,History,1597
1511,King John,SALISBURY,History,1597
1512,Richard II,ABBOT,History,1595
1512,Richard II,ANOTHER LORD,History,1595
1512,Richard II,AUMERLE,History,1595
1512,Richard II,BAGOT,History,1595
1512,Richard II,BERKELEY,History,1595
1512,Richard II,BOLINGBROKE,History,1595
1512,Richard II,BUSHY,History,1595
1512,Richard II,CAPTAIN,History,1595
1512,Richard II,CARLISLE,History,1595
1512,Richard II,DUCHESS,History,1595
1512,Richard II,EXTON,History,1595
1512,Richard II,FIRST HERALD,History,1595
1512,Richard II,FITZWATER,History,1595
1512,Richard II,GARDENER,History,1595
1512,Richard II,GAUNT,History,1595
1512,Richard II,GREEN,History,1595
1512,Richard II,GROOM,History,1595
1512,Richard II,HARRY PERCY,History,1595
1512,Richard II,KEEPER,History,1595
1512,Richard II,KING HENRY,History,1595
1512,Richard II,KING RICHARD,History,1595
1512,Richard II,LADY,History,1595
1512,Richard II,MARSHAL,History,1595
1512,Richard II,MOWBRAY,History,1595
1512,Richard II,NORTHUMBERLAND,History,1595
1512,Richard II,PERCY,History,1595
1512,Richard II,QUEEN,History,1595
1512,Richard II,RICHARD,History,1595
1512,Richard II,ROSS,History,1595
1512,Richard II,SALISBURY,History,1595
1512,Richard II,SCROOP,History,1595
1512,Richard II,SECOND HERALD,History,1595
1512,Richard II,SERVANT,History,1595
1512,Richard II,SERVINGMAN,History,1595
1512,Richard II,SURREY,History,1595
1512,Richard II,WILLOUGHBY,History,1595
1512,Richard II,YORK,History,1595
1513,Romeo and Juliet,ABRAM,Tragedy,1595
1513,Romeo and Juliet,APOTHECARY,Tragedy,1595
1513,Romeo and Juliet,BALTHASAR,Tragedy,1595
1513,Romeo and Juliet,BENVOLIO,Tragedy,1595
1513,Romeo and Juliet,CAPULET,Tragedy,1595
1513,Romeo and Juliet,CAPULET'S COUSIN,Tragedy,1595
1513,Romeo and Juliet,CHORUS,Tragedy,1595
1513,Romeo and Juliet,FIRST CITIZEN,Tragedy,1595
1513,Romeo and Juliet,FIRST MUSICIAN,Tragedy,1595
1513,Romeo and Juliet,FIRST SERVANT,Tragedy,1595
1513,Romeo and Juliet,FIRST WATCH,Tragedy,1595
1513,Romeo and Juliet,FRIAR JOHN,Tragedy,1595
1513,Romeo and Juliet,FRIAR LAWRENCE,Tragedy,1595
1513,Romeo and Juliet,GREGORY,Tragedy,1595
1513,Romeo and Juliet,JULIET,Tragedy,1595
1513,Romeo and Juliet,LADY CAPULET,Tragedy,1595
1513,Romeo and Juliet,LADY MONTAGUE,Tragedy,1595
1513,Romeo and Juliet,MERCUTIO,Tragedy,1595
1513,Romeo and Juliet,MONTAGUE,Tragedy,1595
1513,Romeo and Juliet,NURSE,Tragedy,1595
1513,Romeo and Juliet,PAGE,Tragedy,1595
1513,Romeo and Juliet,PARIS,Tragedy,1595
1513,Romeo and Juliet,PETER,Tragedy,1595
1513,Romeo and Juliet,PRINCE,Tragedy,1595
1513,Romeo and Juliet,ROMEO,Tragedy,1595
1513,Romeo and Juliet,SAMPSON,Tragedy,1595
1513,Romeo and Juliet,SECOND MUSICIAN,Tragedy,1595
1513,Romeo and Juliet,SECOND SERVANT,Tragedy,1595
1513,Romeo and Juliet,SECOND WATCH,Tragedy,1595
1513,Romeo and Juliet,SERVANT,Tragedy,1595
1513,Romeo and Juliet,THIRD MUSICIAN,Tragedy,1595
1513,Romeo and Juliet,TYBALT,Tragedy,1595
1514,A Midsummer Night's Dream,BOTTOM,Comedy,1595
1514,A Midsummer Night's Dream,CHORUS,Comedy,1595
1514,A Midsummer Night's Dream,COBWEB,Comedy,1595
1514,A Midsummer Night's Dream,DEMETRIUS,Comedy,1595
1514,A Midsummer Night's Dream,EGEUS,Comedy,1595
1514,A Midsummer Night's Dream,FAIRY,Comedy,1595
1514,A Midsummer Night's Dream,FIRST FAIRY,Comedy,1595
1514,A Midsummer Night's Dream,FLUTE,Comedy,1595
1514,A Midsummer Night's Dream,HELENA,Comedy,1595
1514,A Midsummer Night's Dream,HERMIA,Comedy,1595
1514,A Midsummer Night's Dream,HIPPOLYTA,Comedy,1595
1514,A Midsummer Night's Dream,LION,Comedy,1595
1514,A Midsummer Night's Dream,LYSANDER,Comedy,1595
1514,A Midsummer Night's Dream,MOON,Comedy,1595
1514,A Midsummer Night's Dream,MOONSHINE,Comedy,1595
1514,A Midsummer Night's Dream,MOTH,Comedy,1595
1514,A Midsummer Night's Dream,MUSTARDSEED,Comedy,1595
1514,A Midsummer Night's Dream,OBERON,Comedy,1595
1514,A Midsummer Night's Dream,PEASEBLOSSOM,Comedy,1595
1514,A Midsummer Night's Dream,PHILOSTRATE,Comedy,1595
1514,A Midsummer Night's Dream,PUCK,Comedy,1595
1514,A Midsummer Night's Dream,PYRAMUS,Comedy,1595
1514,A Midsummer Night's Dream,QUINCE,Comedy,1595
1514,A Midsummer Night's Dream,SECOND FAIRY,Comedy,1595
1514,A Midsummer Night's Dream,SNOUT,Comedy,1595
1514,A Midsummer Night's Dream,SNUG,Comedy,1595
1514,A Midsummer Night's Dream,STARVELING,Comedy,1595
1514,A Midsummer Night's Dream,THESEUS,Comedy,1595
1514,A Midsummer Night's Dream,THISBE,Comedy,1595
