gutenberg_id,short_title,character,n_tokens,n_scenes,n_acts,genre,year
1501,"Henry VI, Part 2",YORK,2174,4,3,History,1591
1502,"Henry VI, Part 3",BONA,73,1,1,History,1595
1502,"Henry VI, Part 3",CLIFFORD,1118,5,2,History,1595
1502,"Henry VI, Part 3",EDWARD,1053,4,2,History,1595
1502,"Henry VI, Part 3",EXETER,141,3,3,History,1595
1502,"Henry VI, Part 3",FATHER,219,1,1,History,1595
1502,"Henry VI, Part 3",GEORGE,855,7,4,History,1595
1502,"Henry VI, Part 3",HASTINGS,153,3,1,History,1595
1502,"Henry VI, Part 3",HUNTSMAN,18,1,1,History,1595
1502,"Henry VI, Part 3",KING EDWARD,2444,7,3,History,1595
1502,"Henry VI, Part 3",KING HENRY,3130,5,5,History,1595
1502,"Henry VI, Part 3",KING LEWIS,516,1,1,History,1595
1502,"Henry VI, Part 3",LADY GREY,301,1,1,History,1595
1502,"Henry VI, Part 3",LIEUTENANT,21,1,1,History,1595
1502,"Henry VI, Part 3",MAYOR,43,1,1,History,1595
1502,"Henry VI, Part 3",MESSENGER,281,3,3,History,1595
1502,"Henry VI, Part 3",MONTAGUE,119,3,3,History,1595
1502,"Henry VI, Part 3",MONTGOMERY,114,1,1,History,1595
1502,"Henry VI, Part 3",NOBLEMAN,16,1,1,History,1595
1502,"Henry VI, Part 3",NORFOLK,26,1,1,History,1595
1502,"Henry VI, Part 3",NORTHUMBERLAND,245,3,2,History,1595
1502,"Henry VI, Part 3",OXFORD,290,7,3,History,1595
1502,"Henry VI, Part 3",POST,224,3,2,History,1595
1502,"Henry VI, Part 3",PRINCE EDWARD,371,5,4,History,1595
1502,"Henry VI, Part 3",QUEEN ELIZABETH,300,3,2,History,1595
1502,"Henry VI, Part 3",QUEEN MARGARET,2271,5,4,History,1595
1502,"Henry VI, Part 3",RICHARD,3228,8,5,History,1595
1502,"Henry VI, Part 3",RIVERS,54,1,1,History,1595
1502,"Henry VI, Part 3",RUTLAND,197,1,1,History,1595
1502,"Henry VI, Part 3",SIR JOHN,10,1,1,History,1595
1502,"Henry VI, Part 3",SOLDIER,19,1,1,History,1595
1502,"Henry VI, Part 3",SOMERSET,287,6,2,History,1595
1502,"Henry VI, Part 3",SOMERVILLE,55,1,1,History,1595
1502,"Henry VI, Part 3",SON,190,1,1,History,1595
1502,"Henry VI, Part 3",TUTOR,24,1,1,History,1595
1502,"Henry VI, Part 3",WARWICK,3510,5,5,History,1595
1502,"Henry VI, Part 3",WESTMORELAND,86,1,1,History,1595
1502,"Henry VI, Part 3",YORK,1367,3,1,History,1595
1503,Richard III,ANNE,1186,2,2,History,1592
1503,Richard III,ARCHBISHOP,90,1,1,History,1592
1503,Richard III,BLUNT,67,2,1,History,1592
1503,Richard III,BOY,157,1,1,History,1592
1503,Richard III,BRAKENBURY,229,2,2,History,1592
1503,Richard III,BUCKINGHAM,2847,6,5,History,1592
1503,Richard III,CARDINAL,74,1,1,History,1592
1503,Richard III,CATESBY,441,5,4,History,1592
1503,Richard III,CHILDREN,26,1,1,History,1592
1503,Richard III,CHRISTOPHER,58,1,1,History,1592
1503,Richard III,CLARENCE,1289,2,1,History,1592
1503,Richard III,DORSET,122,3,3,History,1592
1503,Richard III,DUCHESS,1108,3,2,History,1592
1503,Richard III,ELY,47,1,1,History,1592
1503,Richard III,FIRST CITIZEN,65,1,1,History,1592
1503,Richard III,FIRST MURDERER,428,2,1,History,1592
1503,Richard III,FOURTH MESSENGER,78,1,1,History,1592
1503,Richard III,GENTLEMAN,13,1,1,History,1592
1503,Richard III,GHOST OF ANNE,63,1,1,History,1592
1503,Richard III,GHOST OF BUCKINGHAM,88,1,1,History,1592
1503,Richard III,GHOST OF CLARENCE,69,1,1,History,1592
1503,Richard III,GHOST OF EDWARD,49,1,1,History,1592
1503,Richard III,GHOST OF GREY,11,1,1,History,1592
1503,Richard III,GHOST OF HASTINGS,38,1,1,History,1592
1503,Richard III,GHOST OF HENRY,59,1,1,History,1592
1503,Richard III,GHOST OF RIVERS,19,1,1,History,1592
1503,Richard III,GHOST OF VAUGHAN,17,1,1,History,1592
1503,Richard III,GHOSTS OF PRINCES,70,1,1,History,1592
1503,Richard III,GIRL,33,1,1,History,1592
1503,Richard III,GREY,110,1,2,History,1592
1503,Richard III,HASTINGS,1121,4,3,History,1592
1503,Richard III,HERBERT,10,1,1,History,1592
1503,Richard III,KEEPER,68,1,1,History,1592
1503,Richard III,KING EDWARD,526,1,1,History,1592
1503,Richard III,KING RICHARD,3540,3,2,History,1592
1503,Richard III,LORDS,14,1,1,History,1592
1503,Richard III,LOVELL,20,2,1,History,1592
1503,Richard III,MAYOR,114,3,1,History,1592
1503,Richard III,MESSENGER,219,3,4,History,1592
1503,Richard III,NORFOLK,68,1,1,History,1592
1503,Richard III,OXFORD,13,1,1,History,1592
1503,Richard III,PAGE,36,1,1,History,1592
1503,Richard III,PRIEST,16,1,1,History,1592
1503,Richard III,PRINCE,347,1,1,History,1592
1503,Richard III,PURSUIVANT,20,1,1,History,1592
1503,Richard III,QUEEN ELIZABETH,2147,4,3,History,1592
1503,Richard III,QUEEN MARGARET,1770,2,2,History,1592
1503,Richard III,RATCLIFFE,220,2,3,History,1592
1503,Richard III,RICHARD,5345,6,3,History,1592
1503,Richard III,RICHMOND,1078,3,1,History,1592
1503,Richard III,RIVERS,373,3,3,History,1592
1503,Richard III,SCRIVENER,117,1,1,History,1592
1503,Richard III,SECOND CITIZEN,103,1,1,History,1592
1503,Richard III,SECOND MESSENGER,23,1,1,History,1592
1503,Richard III,SECOND MURDERER,459,2,1,History,1592
1503,Richard III,SHERIFF,9,1,1,History,1592
1503,Richard III,STANLEY,840,5,5,History,1592
1503,Richard III,SURREY,9,1,1,History,1592
1503,Richard III,THIRD CITIZEN,230,1,1,History,1592
1503,Richard III,THIRD MESSENGER,47,1,1,History,1592
1503,Richard III,TYRREL,268,2,1,History,1592
1503,Richard III,VAUGHAN,9,1,1,History,1592
1503,Richard III,YORK,330,2,2,History,1592
1504,Comedy of Errors,ABBESS,554,1,1,Comedy,1594
1504,Comedy of Errors,ADRIANA,2100,3,4,Comedy,1594
1504,Comedy of Errors,ANGELO,637,2,3,Comedy,1594
1504,Comedy of Errors,ANTIPHOLUS OF EPHESUS,1751,2,3,Comedy,1594
1504,Comedy of Errors,ANTIPHOLUS OF SYRACUSE,2090,4,5,Comedy,1594
1504,Comedy of Errors,BALTHASAR,203,1,1,Comedy,1594
1504,Comedy of Errors,COURTESAN,294,3,2,Comedy,1594
1504,Comedy of Errors,DROMIO OF EPHESUS,1359,3,5,Comedy,1594
1504,Comedy of Errors,DROMIO OF SYRACUSE,2081,4,5,Comedy,1594
1504,Comedy of Errors,DUKE,694,1,2,Comedy,1594
1504,Comedy of Errors,EGEON,1105,1,2,Comedy,1594
1504,Comedy of Errors,JAILER,4,1,1,Comedy,1594
1504,Comedy of Errors,LUCE,64,1,1,Comedy,1594
1504,Comedy of Errors,LUCIANA,766,3,4,Comedy,1594
1504,Comedy of Errors,MERCHANT,382,2,3,Comedy,1594
1504,Comedy of Errors,MESSENGER,132,1,1,Comedy,1594
1504,Comedy of Errors,OFFICER,95,2,1,Comedy,1594
1504,Comedy of Errors,PINCH,103,1,1,Comedy,1594
1507,Titus Andronicus,AARON,2822,3,4,Tragedy,1591
1507,Titus Andronicus,AEMILIUS,154,3,2,Tragedy,1591
1507,Titus Andronicus,BASSIANUS,463,3,2,Tragedy,1591
1507,Titus Andronicus,CAPTAIN,102,1,1,Tragedy,1591
1507,Titus Andronicus,CHIRON,405,4,4,Tragedy,1591
1507,Titus Andronicus,CLOWN,173,2,1,Tragedy,1591
1507,Titus Andronicus,DEMETRIUS,723,4,4,Tragedy,1591
1507,Titus Andronicus,FIRST GOTH,70,2,1,Tragedy,1591
1507,Titus Andronicus,GOTH,24,1,1,Tragedy,1591
1507,Titus Andronicus,GOTHS,10,1,1,Tragedy,1591
1507,Titus Andronicus,LAVINIA,462,3,2,Tragedy,1591
1507,Titus Andronicus,LUCIUS,1406,2,3,Tragedy,1591
1507,Titus Andronicus,MARCUS,2438,4,5,Tragedy,1591
1507,Titus Andronicus,MARTIUS,242,2,2,Tragedy,1591
1507,Titus Andronicus,MESSENGER,56,1,1,Tragedy,1591
1507,Titus Andronicus,MUTIUS,25,1,1,Tragedy,1591
1507,Titus Andronicus,NURSE,137,1,1,Tragedy,1591
1507,Titus Andronicus,PUBLIUS,112,2,2,Tragedy,1591
1507,Titus Andronicus,QUINTUS,232,2,2,Tragedy,1591
1507,Titus Andronicus,ROMANS,12,1,1,Tragedy,1591
1507,Titus Andronicus,SATURNINUS,1624,4,4,Tragedy,1591
1507,Titus Andronicus,SECOND GOTH,161,1,1,Tragedy,1591
1507,Titus Andronicus,TAMORA,2006,4,4,Tragedy,1591
1507,Titus Andronicus,TITUS,5789,3,5,Tragedy,1591
1507,Titus Andronicus,TRIBUNES,19,1,1,Tragedy,1591
1507,Titus Andronicus,YOUNG LUCIUS,354,3,3,Tragedy,1591
1508,Taming of the Shrew,BAPTISTA,1262,3,5,Comedy,1592
1508,Taming of the Shrew,BIANCA,546,2,5,Comedy,1592
